MATLAB index,fpga,bank_index,in_bank_index,x,y
1,0,0,240,0.0,0.0
2,1,0,115,10.0,0.0
3,1,0,114,5.000000000000001,8.660254037844386
4,2,0,115,-4.999999999999999,8.660254037844386
5,2,0,114,-10.0,0.0
6,0,0,115,-5.000000000000001,-8.660254037844386
7,0,0,114,4.999999999999999,-8.660254037844386
8,1,0,107,20.0,0.0
9,1,0,106,15.0,8.660254037844386
10,1,0,105,10.000000000000002,17.32050807568877
11,1,0,113,1.7763568394002505e-15,17.32050807568877
12,2,0,107,-9.999999999999998,17.32050807568877
13,2,0,106,-15.0,8.660254037844386
14,2,0,105,-20.0,0.0
15,2,0,113,-15.0,-8.660254037844386
16,0,0,107,-10.000000000000002,-17.32050807568877
17,0,0,106,-1.7763568394002505e-15,-17.32050807568877
18,0,0,105,9.999999999999998,-17.32050807568877
19,0,0,113,15.0,-8.660254037844386
20,1,0,99,30.0,0.0
21,1,0,98,25.0,8.660254037844386
22,1,0,97,20.0,17.32050807568877
23,1,0,96,15.000000000000004,25.980762113533157
24,1,0,104,5.0000000000000036,25.980762113533157
25,1,0,112,-4.9999999999999964,25.980762113533157
26,2,0,99,-14.999999999999996,25.980762113533157
27,2,0,98,-20.0,17.32050807568877
28,2,0,97,-25.0,8.660254037844386
29,2,0,96,-30.0,0.0
30,2,0,104,-25.0,-8.660254037844386
31,2,0,112,-20.0,-17.32050807568877
32,0,0,99,-15.000000000000004,-25.980762113533157
33,0,0,98,-5.0000000000000036,-25.980762113533157
34,0,0,97,4.9999999999999964,-25.980762113533157
35,0,0,96,14.999999999999996,-25.980762113533157
36,0,0,104,20.0,-17.32050807568877
37,0,0,112,25.0,-8.660254037844386
38,1,0,91,40.0,0.0
39,1,0,90,35.0,8.660254037844386
40,1,0,89,30.0,17.32050807568877
41,1,0,88,25.000000000000004,25.980762113533157
42,1,0,95,20.000000000000004,34.64101615137754
43,1,0,103,10.000000000000004,34.64101615137754
44,1,0,111,3.552713678800501e-15,34.64101615137754
45,1,0,119,-9.999999999999996,34.64101615137754
46,2,0,91,-19.999999999999996,34.64101615137754
47,2,0,90,-24.999999999999996,25.980762113533157
48,2,0,89,-30.0,17.32050807568877
49,2,0,88,-35.0,8.660254037844386
50,2,0,95,-40.0,0.0
51,2,0,103,-35.0,-8.660254037844386
52,2,0,111,-30.0,-17.32050807568877
53,2,0,119,-25.000000000000004,-25.980762113533157
54,0,0,91,-20.000000000000004,-34.64101615137754
55,0,0,90,-10.000000000000004,-34.64101615137754
56,0,0,89,-3.552713678800501e-15,-34.64101615137754
57,0,0,88,9.999999999999996,-34.64101615137754
58,0,0,95,19.999999999999996,-34.64101615137754
59,0,0,103,24.999999999999996,-25.980762113533157
60,0,0,111,30.0,-17.32050807568877
61,0,0,119,35.0,-8.660254037844386
62,1,0,83,50.0,0.0
63,1,0,82,45.0,8.660254037844386
64,1,0,81,40.0,17.32050807568877
65,1,0,80,35.0,25.980762113533157
66,1,0,87,30.000000000000004,34.64101615137754
67,1,0,86,25.000000000000004,43.301270189221924
